ds,y
2022-02-28,4880
2022-03-01,4950
2022-03-02,4910
2022-03-03,4820
2022-03-04,4720
2022-03-05,2480
2022-03-06,2460
2022-03-07,4920
2022-03-08,4990
2022-03-09,4950
2022-03-10,4860
2022-03-11,4760
2022-03-12,2500
2022-03-13,2480
2022-03-14,4960
2022-03-15,5030
2022-03-16,4990
2022-03-17,5100
2022-03-18,4800
2022-03-19,2520
2022-03-20,2500
2022-03-21,5000
2022-03-22,5070
2022-03-23,5030
2022-03-24,4940
2022-03-25,4840
2022-03-26,2540
2022-03-27,2520
2022-03-28,5040
2022-03-29,5110
2022-03-30,5070
2022-03-31,4980
2022-04-01,4880
2022-04-02,2560
2022-04-03,2540
2022-04-04,5080
2022-04-05,5150
2022-04-06,5110
2022-04-07,5020
2022-04-08,4920
2022-04-09,2580
2022-04-10,2560
2022-04-11,5120
2022-04-12,5190
2022-04-13,5150
2022-04-14,5060
2022-04-15,4960
2022-04-16,2600
2022-04-17,2700
2022-04-18,5160
2022-04-19,5230
2022-04-20,5190
2022-04-21,5100
2022-04-22,5000
2022-04-23,2620
2022-04-24,2600
2022-04-25,5200
2022-04-26,5270
2022-04-27,5230
2022-04-28,5140
2022-04-29,5040
2022-04-30,2640
2022-05-01,2620
2022-05-02,5240
2022-05-03,5310
2022-05-04,5270
2022-05-05,5180
2022-05-06,5080
2022-05-07,2660
2022-05-08,2750
2022-05-09,5280
2022-05-10,5350
2022-05-11,5310
2022-05-12,5220
2022-05-13,5120
2022-05-14,2680
2022-05-15,2660
2022-05-16,5320
2022-05-17,5390
2022-05-18,5350
2022-05-19,5260
2022-05-20,5160
2022-05-21,2700
2022-05-22,2680
2022-05-23,5360
2022-05-24,5430
2022-05-25,5390
2022-05-26,5300
2022-05-27,5200
2022-05-28,2720
2022-05-29,2700
2022-05-30,2850
2022-05-31,5470
2022-06-01,5520
2022-06-02,5430
2022-06-03,5330
2022-06-04,2760
2022-06-05,2740
2022-06-06,5480
2022-06-07,5550
2022-06-08,5510
2022-06-09,5420
2022-06-10,5320
2022-06-11,2780
2022-06-12,2760
2022-06-13,5520
2022-06-14,5590
2022-06-15,5550
2022-06-16,5460
2022-06-17,5360
2022-06-18,2800
2022-06-19,2880
2022-06-20,5560
2022-06-21,5630
2022-06-22,5590
2022-06-23,5500
2022-06-24,5400
2022-06-25,2820
2022-06-26,2800
2022-06-27,5600
2022-06-28,5670
2022-06-29,5630
2022-06-30,5540
2022-07-01,5440
2022-07-02,2840
2022-07-03,2920
2022-07-04,3100
2022-07-05,5710
2022-07-06,5670
2022-07-07,5580
2022-07-08,5480
2022-07-09,2860
2022-07-10,2840
2022-07-11,5680
2022-07-12,5750
2022-07-13,5710
2022-07-14,5620
2022-07-15,5520
2022-07-16,2880
2022-07-17,2860
2022-07-18,5720
2022-07-19,5790
2022-07-20,5750
2022-07-21,5660
2022-07-22,5560
2022-07-23,2900
2022-07-24,2880
2022-07-25,5760
2022-07-26,5830
2022-07-27,5790
2022-07-28,5700
2022-07-29,5600
2022-07-30,2920
2022-07-31,2900
2022-08-01,5800
2022-08-02,5870
2022-08-03,5830
2022-08-04,5740
2022-08-05,5640
2022-08-06,2940
2022-08-07,2920
2022-08-08,5840
2022-08-09,5910
2022-08-10,5870
2022-08-11,5780
2022-08-12,5680
2022-08-13,2960
2022-08-14,2940
2022-08-15,5880
2022-08-16,5950
2022-08-17,5910
2022-08-18,5820
2022-08-19,5720
2022-08-20,2980
2022-08-21,2960
2022-08-22,5920
2022-08-23,5990
2022-08-24,5950
2022-08-25,5860
2022-08-26,5760
2022-08-27,3000
2022-08-28,2980
2022-08-29,5960
2022-08-30,6030
2022-08-31,5990
2022-09-01,5900
2022-09-02,5800
2022-09-03,3020
2022-09-04,3000
2022-09-05,3100
2022-09-06,6070
2022-09-07,6030
2022-09-08,5940
2022-09-09,5840
2022-09-10,3040
2022-09-11,3020
2022-09-12,6040
2022-09-13,6110
2022-09-14,6070
2022-09-15,5980
2022-09-16,5880
2022-09-17,3060
2022-09-18,3040
2022-09-19,6080
2022-09-20,6150
2022-09-21,6110
2022-09-22,6020
2022-09-23,5920
2022-09-24,3080
2022-09-25,3060
2022-09-26,6120
2022-09-27,6190
2022-09-28,6150
2022-09-29,6060
2022-09-30,5960
2022-10-01,3100
2022-10-02,3080
2022-10-03,6160
2022-10-04,6230
2022-10-05,6190
2022-10-06,6100
2022-10-07,6000
2022-10-08,3120
2022-10-09,3100
2022-10-10,6200
2022-10-11,6270
2022-10-12,6230
2022-10-13,6140
2022-10-14,6040
2022-10-15,3140
2022-10-16,3120
2022-10-17,6240
2022-10-18,6310
2022-10-19,6270
2022-10-20,6180
2022-10-21,6080
2022-10-22,3160
2022-10-23,3140
2022-10-24,6280
2022-10-25,6350
2022-10-26,6310
2022-10-27,6220
2022-10-28,6120
2022-10-29,3180
2022-10-30,3260
2022-10-31,6320
2022-11-01,6390
2022-11-02,6350
2022-11-03,6260
2022-11-04,6160
2022-11-05,3200
2022-11-06,3180
2022-11-07,6360
2022-11-08,6430
2022-11-09,6390
2022-11-10,6300
2022-11-11,6200
2022-11-12,3220
2022-11-13,3200
2022-11-14,6400
2022-11-15,6470
2022-11-16,6430
2022-11-17,6340
2022-11-18,6240
2022-11-19,3240
2022-11-20,3220
2022-11-21,6440
2022-11-22,6510
2022-11-23,6470
2022-11-24,3600
2022-11-25,3800
2022-11-26,3260
2022-11-27,3240
2022-11-28,6480
2022-11-29,6550
2022-11-30,6510
2022-12-01,6420
2022-12-02,6320
2022-12-03,3280
2022-12-04,3260
2022-12-05,6520
2022-12-06,6590
2022-12-07,6550
2022-12-08,6460
2022-12-09,6360
2022-12-10,3300
2022-12-11,3280
2022-12-12,6560
2022-12-13,6630
2022-12-14,6590
2022-12-15,6500
2022-12-16,6400
2022-12-17,3320
2022-12-18,3300
2022-12-19,6600
2022-12-20,6670
2022-12-21,6630
2022-12-22,6540
2022-12-23,6440
2022-12-24,3700
2022-12-25,3500
2022-12-26,3340
2022-12-27,6640
2022-12-28,6710
2022-12-29,6670
2022-12-30,6580
2022-12-31,3900
